RUN_ID=R20260726T072157Z-4478
BATCH-BEGIN R20260726T072157Z-4478 count=52
=== VERDICTS (gated) ===
GATE name=dummy verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_alive verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_single verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_death verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_persist_save verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_persist_load verdict=FAIL runId=R20260726T072157Z-4478
GATE name=bot_move_flat verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_move_stair verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_look verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_path_reach verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_path_blocked verdict=FAIL runId=R20260726T072157Z-4478
GATE name=bot_phase2_combo verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_perception verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_tactics verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_melee verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_ranged verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_survival verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_pearl verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_totem verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_dodge verdict=FAIL runId=R20260726T072157Z-4478
GATE name=bot_shield verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_fall_water verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_fall_nowater verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_equip verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_path_ability_water verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_path_ability_detour verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_live_eat verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_live_eat_combat verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_r1_swing verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_r1_projectile verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_r1_idle verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_r1_proximity verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_rule1_nokite verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_rule1_kite verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_rule4_pierce verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_rule4_normal verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_rule4_axe verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_kite_flip verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_kite_band_latch verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_kite_recover verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_kite_execmon verdict=FAIL runId=R20260726T072157Z-4478
GATE name=bot_kite_execmon_lat verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_kite_approach verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_warden_band verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_warden_band_below verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_warden_band_above verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_warden_charge verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_warden_charge_none verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_warden_probe verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_warden_tactics verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_warden_noname verdict=PASS runId=R20260726T072157Z-4478
GATE name=bot_warden_generic verdict=PASS runId=R20260726T072157Z-4478
BATCH-END R20260726T072157Z-4478
